n_detectors,optimization_time_seconds,mean_cumulative_detection_prob,mean_avg_detection_per_second,mean_time_in_observable,mean_time_in_nonobservable,mean_sliding_window_5s_min,mean_sliding_window_5s_max,mean_sliding_window_5s_mean,mean_sliding_window_10s_min,mean_sliding_window_10s_max,mean_sliding_window_10s_mean,mean_sliding_window_15s_min,mean_sliding_window_15s_max,mean_sliding_window_15s_mean,mean_sliding_window_20s_min,mean_sliding_window_20s_max,mean_sliding_window_20s_mean,mean_sliding_window_30s_min,mean_sliding_window_30s_max,mean_sliding_window_30s_mean,detector_mean_coverage,detector_min_coverage,detector_fraction_covered
5,172.59197235107422,0.7220782290635661,0.04154762987020311,358.64,281.26,0.0,0.6724816129639802,0.08904948243781038,0.0,0.7027522307681133,0.11976399277786434,0.0,0.7127375501823036,0.1489768507589812,nan,nan,nan,0.0,0.7166654250969668,0.243437668851249,0.03542676367914135,0.0,0.030687191870409497
10,193.25310850143433,0.8287893926459385,0.08062321007363885,359.54,281.62,0.0,0.7884326647897504,0.17193054823510703,0.0,0.8131198279551295,0.22777661211998462,0.0,0.8238771819817314,0.27420777723240713,nan,nan,nan,0.0,0.8282401772284592,0.39869095131823834,0.0708535273582827,0.0,0.061374383740818994
15,258.80189776420593,0.973939719184558,0.12286861167298968,356.22,284.52,0.0,0.9427500563141291,0.2614740083908578,0.0,0.9622184194269675,0.3501363016321525,0.0,0.9685879784701709,0.42786182526575933,nan,nan,nan,0.05441449241983973,0.9716809466528932,0.5805482417199123,0.10628029103742401,0.0,0.09206157561122849
20,313.1472909450531,0.9999674514137513,0.17051113444873572,358.96,282.08,0.0,0.9946900027993696,0.36592528680184755,0.0,0.998499580588632,0.4859337021980701,0.0,0.9993877081528595,0.586437730719494,nan,nan,nan,0.0699103858883545,0.9997686700098234,0.7838208631573255,0.1416590535938096,0.0,0.12274876748163799
25,373.24156045913696,0.9999999400744075,0.19523694546157974,357.38,282.98,0.0,0.9993241890391859,0.40411034741263824,0.0,0.9999560694319439,0.5252919687971875,0.0,0.9999954620592304,0.6185658778449311,nan,nan,nan,0.14219477927087723,0.9999991022456952,0.802921891637465,0.1767550877346337,0.0,0.15343595935204749
30,429.0344305038452,0.9999970851366087,0.2583431624500189,354.9,284.54,0.0,0.9963451140178279,0.5340679562654361,0.0,0.9991008006724843,0.681557383597629,0.00318625680135322,0.9996005046325679,0.7806291495449037,nan,nan,nan,0.4912637157597238,0.9998537836027023,0.9284459617502893,0.21162448398402722,0.0,0.18512928866083106
35,484.8387234210968,0.9999609632033543,0.27654171413940337,358.06,281.02,0.0,0.9964284134531696,0.5714439236188122,0.011340507127090657,0.9990276201647122,0.7193827173643567,0.09869437331447474,0.9995186231492456,0.80956026880768,nan,nan,nan,0.568569959397079,0.999804126895537,0.933306808919798,0.24684480887994364,0.0,0.21561525304356574
40,559.5168225765228,0.999841608653953,0.32179963201736733,359.28,280.64,0.005973791339825127,0.9904975110418311,0.6455957324791112,0.08492253813157939,0.9949482852878424,0.7992973458820597,0.26555684621956277,0.996950985873701,0.890932248343849,nan,nan,nan,0.8365574947285546,0.9978864308474035,0.9776579896996708,0.2805272100323006,0.0,0.24861656102223564
45,694.7947709560394,1.0,0.37954884757920576,360.26,281.14,0.012090736025872907,0.999980694951897,0.7310829573563679,0.08258164512597588,0.9999996047029933,0.8615209193748622,0.2742012449939663,0.9999999750342741,0.9276034120451417,nan,nan,nan,0.8685119821286151,0.9999999981957626,0.9914788729544921,0.312804447448525,0.0,0.28222155146392996
50,667.2226285934448,0.9999999999999986,0.3554495007549487,358.7,281.48,0.00389441689002209,0.9990540503282026,0.7078105205427252,0.075863600208803,0.9998212235865717,0.8532506435362369,0.26922609010293075,0.9999550312845545,0.924073380423532,nan,nan,nan,0.8261977570531878,0.9999934278804354,0.9868068275831962,0.34504760495997605,0.0,0.3181406580138847
